Crop_Year,State,Crop,Production,Area,Yield,Crop_Type
2005,Andhra Pradesh,Arecanut,234,293.0,0.8025,Frutales
2004,Andhra Pradesh,Sweet potato,7829,1193.0,6.883157895,"Especias, Tubérculos y Hortalizas"
2004,Andhra Pradesh,Sugarcane,15739172,209536.0,77.12619048,Cultivos Industriales
2004,Andhra Pradesh,Potato,27527,4037.0,7.64,"Especias, Tubérculos y Hortalizas"
2004,Andhra Pradesh,Ginger,10906,1873.0,5.2775,"Especias, Tubérculos y Hortalizas"
2004,Andhra Pradesh,Garlic,0,552.0,0.0,"Especias, Tubérculos y Hortalizas"
2004,Andhra Pradesh,Coriander,9314,23981.0,0.516470588,"Especias, Tubérculos y Hortalizas"
2000,Andhra Pradesh,Arecanut,724,262.0,2.78,Frutales
2000,Andhra Pradesh,Banana,819660,49051.0,17.63090909,Frutales
2000,Andhra Pradesh,Cashewnut,31074,145315.0,0.190625,Frutales
2004,Andhra Pradesh,Tapioca,146784,20137.0,6.748,Cereales y Granos
2000,Andhra Pradesh,Coconut ,1092707179,102646.0,9101.813684,Frutales
2000,Andhra Pradesh,Ginger,6515,2329.0,3.14875,"Especias, Tubérculos y Hortalizas"
2000,Andhra Pradesh,Potato,14618,2489.0,6.14375,"Especias, Tubérculos y Hortalizas"
2000,Andhra Pradesh,Sugarcane,17690131,237150.0,73.8955,Cultivos Industriales
2000,Andhra Pradesh,Sweet potato,25467,1938.0,13.93277778,"Especias, Tubérculos y Hortalizas"
2000,Andhra Pradesh,Tapioca,166124,21506.0,7.528,Cereales y Granos
2000,Andhra Pradesh,Tobacco,463405,126144.0,3.364285714,Cultivos Industriales
2008,Andhra Pradesh,Arecanut,265,359.0,0.915,Frutales
2008,Andhra Pradesh,Banana,1368488,54100.0,26.21611111,Frutales
2008,Andhra Pradesh,Cashewnut,45208,150135.0,0.319230769,Frutales
2000,Andhra Pradesh,Coriander,19993,58441.0,0.395,"Especias, Tubérculos y Hortalizas"
2004,Andhra Pradesh,Tobacco,585193,189484.0,4.54547619,Cultivos Industriales
2006,Andhra Pradesh,Tapioca,209152,19732.0,8.95,Cereales y Granos
2006,Andhra Pradesh,Sweet potato,8608,997.0,8.821764706,"Especias, Tubérculos y Hortalizas"
2006,Andhra Pradesh,Banana,1224106,50286.0,26.19809524,Frutales
2006,Andhra Pradesh,Cashewnut,37470,145095.0,0.2375,Frutales
2006,Andhra Pradesh,Coconut ,1326398065,105043.0,11710.48222,Frutales
2006,Andhra Pradesh,Coriander,10061,25375.0,0.495,"Especias, Tubérculos y Hortalizas"
2003,Andhra Pradesh,Tobacco,516207,191030.0,3.782439024,Cultivos Industriales
2003,Andhra Pradesh,Tapioca,122145,19456.0,6.29,Cereales y Granos
2003,Andhra Pradesh,Sweet potato,9130,1263.0,7.32,"Especias, Tubérculos y Hortalizas"
2003,Andhra Pradesh,Sugarcane,15069824,208969.0,74.48380952,Cultivos Industriales
2003,Andhra Pradesh,Potato,24049,2648.0,9.045,"Especias, Tubérculos y Hortalizas"
2003,Andhra Pradesh,Ginger,5614,1873.0,2.995,"Especias, Tubérculos y Hortalizas"
2003,Andhra Pradesh,Coriander,15999,48644.0,0.405294118,"Especias, Tubérculos y Hortalizas"
2003,Andhra Pradesh,Coconut ,1195079360,103965.0,9524.628235,Frutales
2003,Andhra Pradesh,Cashewnut,39207,150077.0,0.225,Frutales
2003,Andhra Pradesh,Banana,515379,38714.0,15.68263158,Frutales
2003,Andhra Pradesh,Arecanut,221,311.0,0.704,Frutales
2007,Andhra Pradesh,Tobacco,175000,120000.0,1.529166667,Cultivos Industriales
2007,Andhra Pradesh,Sugarcane,20182000,247000.0,83.4125,Cultivos Industriales
2006,Andhra Pradesh,Ginger,10301,2439.0,3.558,"Especias, Tubérculos y Hortalizas"
2006,Andhra Pradesh,Potato,44728,3645.0,12.436,"Especias, Tubérculos y Hortalizas"
2006,Andhra Pradesh,Sugarcane,21691638,264333.0,86.37380952,Cultivos Industriales
2006,Andhra Pradesh,Sunflower,329437,445693.0,0.896363636,Oleaginosas
2008,Andhra Pradesh,Coconut ,970056617,106616.0,9132.568235,Frutales
2008,Andhra Pradesh,Coriander,15616,33439.0,0.585625,"Especias, Tubérculos y Hortalizas"
2008,Andhra Pradesh,Ginger,11684,2194.0,4.525555556,"Especias, Tubérculos y Hortalizas"
2008,Andhra Pradesh,Potato,50118,5227.0,9.332,"Especias, Tubérculos y Hortalizas"
2009,Andhra Pradesh,Garlic,1565,530.0,2.556666667,"Especias, Tubérculos y Hortalizas"
2009,Andhra Pradesh,Ginger,16674,2317.0,5.49625,"Especias, Tubérculos y Hortalizas"
2009,Andhra Pradesh,Potato,57159,5040.0,10.294,"Especias, Tubérculos y Hortalizas"
2009,Andhra Pradesh,Sugarcane,11695863,157834.0,83.372,Cultivos Industriales
2009,Andhra Pradesh,Sunflower,270089,350523.0,0.929090909,Oleaginosas
2009,Andhra Pradesh,Sweet potato,6781,886.0,7.28625,"Especias, Tubérculos y Hortalizas"
2009,Andhra Pradesh,Tapioca,146366,11234.0,9.916666667,Cereales y Granos
2009,Andhra Pradesh,Tobacco,724059,258386.0,4.295121951,Cultivos Industriales
2001,Andhra Pradesh,Arecanut,449,268.0,1.71,Frutales
2001,Andhra Pradesh,Banana,761365,50507.0,11.73363636,Frutales
2001,Andhra Pradesh,Cashewnut,38729,147370.0,0.236,Frutales
2001,Andhra Pradesh,Coconut ,1124969850,104244.0,9057.671111,Frutales
2001,Andhra Pradesh,Coriander,22711,57913.0,0.531176471,"Especias, Tubérculos y Hortalizas"
2001,Andhra Pradesh,Ginger,6263,2547.0,2.4375,"Especias, Tubérculos y Hortalizas"
2001,Andhra Pradesh,Potato,14653,2348.0,5.85,"Especias, Tubérculos y Hortalizas"
2001,Andhra Pradesh,Sugarcane,18081889,218298.0,84.989,Cultivos Industriales
2001,Andhra Pradesh,Sweet potato,25810,1945.0,14.05764706,"Especias, Tubérculos y Hortalizas"
2001,Andhra Pradesh,Tapioca,146361,17694.0,7.83,Cereales y Granos
2001,Andhra Pradesh,Tobacco,418057,188936.0,2.97047619,Cultivos Industriales
1998,Andhra Pradesh,Sugarcane,16501700,213700.0,81.223,Cultivos Industriales
1998,Andhra Pradesh,Tobacco,246100,193100.0,1.503684211,Cultivos Industriales
2009,Andhra Pradesh,Coriander,20605,37468.0,0.695625,"Especias, Tubérculos y Hortalizas"
2006,Andhra Pradesh,Arecanut,176,255.0,0.685,Frutales
2009,Andhra Pradesh,Coconut ,1149330226,104541.0,10004.87412,Frutales
2009,Andhra Pradesh,Banana,1775347,58229.0,30.9435,Frutales
2008,Andhra Pradesh,Sugarcane,15382999,196126.0,81.6452381,Cultivos Industriales
2008,Andhra Pradesh,Sunflower,326182,418539.0,1.032727273,Oleaginosas
2008,Andhra Pradesh,Sweet potato,9863,903.0,8.952142857,"Especias, Tubérculos y Hortalizas"
2008,Andhra Pradesh,Tapioca,208052,16765.0,9.871428571,Cereales y Granos
2004,Andhra Pradesh,Coconut ,1199311362,103869.0,10469.71389,Frutales
2004,Andhra Pradesh,Cashewnut,33571,150352.0,0.256875,Frutales
2004,Andhra Pradesh,Banana,980481,40906.0,26.37047619,Frutales
2002,Andhra Pradesh,Tobacco,451214,173612.0,3.58547619,Cultivos Industriales
2002,Andhra Pradesh,Tapioca,79474,13138.0,5.034285714,Cereales y Granos
2002,Andhra Pradesh,Sweet potato,13380,1286.0,11.29588235,"Especias, Tubérculos y Hortalizas"
2002,Andhra Pradesh,Sugarcane,15387218,232471.0,69.35666667,Cultivos Industriales
2002,Andhra Pradesh,Potato,18677,2672.0,6.946666667,"Especias, Tubérculos y Hortalizas"
2002,Andhra Pradesh,Ginger,3313,2026.0,1.635,"Especias, Tubérculos y Hortalizas"
2002,Andhra Pradesh,Coriander,13721,45073.0,0.414705882,"Especias, Tubérculos y Hortalizas"
2002,Andhra Pradesh,Coconut ,1158625735,105291.0,9202.625556,Frutales
2002,Andhra Pradesh,Cashewnut,19643,150644.0,0.168125,Frutales
2002,Andhra Pradesh,Banana,1027659,39354.0,26.83952381,Frutales
2002,Andhra Pradesh,Arecanut,427,296.0,1.4525,Frutales
2008,Andhra Pradesh,Tobacco,717012,232741.0,4.74097561,Cultivos Industriales
2005,Andhra Pradesh,Banana,935517,45642.0,23.9085,Frutales
2009,Andhra Pradesh,Arecanut,198,386.0,0.855,Frutales
2009,Andhra Pradesh,Cashewnut,42703,139274.0,0.315,Frutales
1999,Andhra Pradesh,Dry chillies,496115,267789.0,1.692727273,"Especias, Tubérculos y Hortalizas"
2006,Andhra Pradesh,Tobacco,582747,191822.0,4.163571429,Cultivos Industriales
2005,Andhra Pradesh,Potato,29564,3275.0,8.895,"Especias, Tubérculos y Hortalizas"
1999,Andhra Pradesh,Onion,520983,34925.0,16.27210526,"Especias, Tubérculos y Hortalizas"
2005,Andhra Pradesh,Sunflower,297556,444264.0,0.931363636,Oleaginosas
2005,Andhra Pradesh,Sweet potato,8726,1085.0,8.547777778,"Especias, Tubérculos y Hortalizas"
2005,Andhra Pradesh,Tapioca,125986,15281.0,7.2075,Cereales y Granos
2005,Andhra Pradesh,Sugarcane,17656395,229960.0,83.59,Cultivos Industriales
